Id,Id Provincia,Distrito,Zona sismica,Latitud,Longitud
552,51,VILCANCHOS ,3,-13.6112354,-74.532601
553,52,CHUMPI ,3,-15.0948144,-73.7481655
554,52,CORACORA ,3,-15.01682,-73.7806339
555,52,CORONEL CASTAÑEDA ,3,-14.7734005,-73.1826283
556,52,PACAPAUSA ,3,-14.9499497,-73.3678698
557,52,SAN  FRANCISCO  DE ,3,-17.1949864,-70.9358266
558,52,RIVACAYCO ,3,0.0,0.0
559,52,UPAHUACHO ,3,-14.9071739,-73.3978382
560,52,PULLO ,4,-15.2103216,-73.8265885
561,52,PUYUSCA ,4,-15.2779216,-73.5681304
562,53,AUCARA ,3,-14.2810472,-73.9748656
563,53,CABANA ,3,-14.2885572,-73.9671215
564,53,CARMEN SALCEDO ,3,-14.4527315,-73.9643101
565,53,CHAVIÑA ,3,-14.9794632,-73.8373748
566,53,CHIPAO ,3,-14.3658713,-73.87626
567,53,LUCANAS ,3,-14.5,-74.333333
568,53,PUQUIO ,3,-14.6940105,-74.1242183
569,53,SAN JUAN ,3,-14.6516137,-74.1988989
570,53,SAN PEDRO DE PALCO ,3,-14.4119513,-74.6510319
571,53,SANTA  ANA  DE ,3,-13.1653542,-74.2322698
572,53,HUAYCAHUACHO ,3,-15.205403,-73.2232414
573,53,HUAC-HUAS ,4,-14.1315439,-74.9421837
574,53,LARAMATE ,4,-14.2864145,-74.8427964
575,53,LEONCIO PRADO ,4,-14.6889802,-74.6449483
576,53,LLAUTA ,4,-14.2437107,-74.9199697
577,53,OCAÑA ,4,-14.3986309,-74.8227486
578,53,OTOCA ,4,-14.4901743,-74.6864442
579,53,SAISA ,4,-14.9402449,-74.4167887
580,53,SAN CRISTÓBAL ,4,-14.7431742,-74.2224412
581,53,SAN PEDRO ,4,-14.7671803,-74.0976631
582,53,SANCOS ,4,-15.0625764,-73.9519436
583,53,SANTA LUCIA ,4,-14.9782125,-74.523762
584,54,BAMBAMARCA ,2,-6.68221,-78.5201491
585,54,CHUGUR ,2,-6.6706526,-78.7385194
586,54,HUALGAYOC ,2,-6.7087189,-78.5314589
587,55,CHIRINOS ,2,-5.3039554,-78.8981584
588,55,HUARANGO ,2,-5.2728294,-78.7758172
589,55,LA COIPA ,2,-5.3930466,-78.9061426
590,55,NAMBALLE ,2,-5.0045531,-79.0876516
591,55,SAN IGNACIO ,2,-5.1243684,-78.8956299
592,55,SAN JOSÉ DE LOURDES ,2,-5.1031042,-78.9138215
593,55,TABACONAS ,2,-5.3160315,-79.2831531
594,56,CELENDÍN ,2,-6.800183,-78.203645
595,56,CHUMUCH ,2,-6.6029568,-78.200322
596,56,CORTEGANA ,2,-6.5132567,-78.3289876
597,56,HUASMÍN ,2,-6.8376064,-78.2449857
598,56,JORGE CHÁVEZ ,2,-6.941751,-78.054977
599,56,JOSÉ GÁLVEZ ,2,-6.9262185,-78.1593617
600,56,LA LIBERTAD DE PALLÁN ,2,-6.7234922,-78.2823411
601,56,MIGUEL IGLESIAS ,2,-6.6774179,-78.2041829
602,56,OXAMARCA ,2,-7.0419042,-78.0680177
603,56,SOROCHUCO ,2,-6.9116568,-78.2550906
604,56,SUCRE ,2,-6.9426948,-78.1356347
605,56,UTCO ,2,-6.8964042,-78.0633552
606,57,CALLAYUC ,2,-6.1808953,-78.9101946
607,57,CHOROS ,2,-5.9003238,-78.693769
608,57,CUJILLO ,2,-6.1070938,-78.5741191
609,57,CUTERVO ,2,-6.2020093,-78.789661
610,57,LA RAMADA ,2,-6.2120596,-78.5602617
611,57,PIMPINGOS ,2,-6.0619295,-78.7583334
612,57,SAN  ANDRÉS  DE ,2,-5.7721635,-78.8851082
613,57,CUTERVO ,2,-6.2020093,-78.789661
614,57,SAN JUAN DE CUTERVO ,2,-6.1634022,-78.5978979
615,57,SAN LUIS DE LUCMA ,2,-6.2941228,-78.6035288
616,57,SANTA CRUZ ,2,-6.6942323,-78.9752808
617,57,SANTO DOMINGO DE LA CAPILLA ,2,-6.2445336,-78.8553076
618,57,SANTO TOMÁS ,2,-6.1513646,-78.6823138
619,57,SOCOTA ,2,-6.2875083,-78.7178366
620,57,TORIBIO CASANOVA ,2,-5.9873916,-78.685043
621,57,QUEROCOTILLO ,3,-6.2735837,-79.0381664
622,58,BELLAVISTA ,2,-5.6655198,-78.6790967
623,58,CHONTALI ,2,-5.6460405,-79.0880569
624,58,COLASAY ,2,-5.9788585,-79.068558
625,58,HUABAL ,2,-5.6128756,-78.8996429
626,58,JAÉN ,2,-5.6847565,-79.0621897
627,58,LAS PIRIAS ,2,-5.6272504,-78.8525806
628,58,SAN JOSÉ DEL ALTO ,2,-5.4650716,-79.0176281
629,58,SANTA ROSA ,2,-5.4327549,-78.566755
630,58,POMAHUACA ,3,-5.9318961,-79.2296103
631,58,PUCARÁ ,3,-6.0418131,-79.1300978
632,58,SALLIQUE ,3,-5.6583409,-79.3155413
633,58,SAN FELIPE ,3,-5.7704483,-79.313728
634,59,GREGORIO PITA ,2,-7.2214778,-78.1614798
635,59,ICHOCÁN ,2,-7.4043688,-78.055406
636,59,JOSÉ MANUEL QUIROZ ,2,-7.3537249,-78.0111071
637,59,JOSÉ SABOGAL ,2,-7.2144553,-77.9822936
638,59,CHANCAY ,3,-7.3881817,-78.12367
639,59,EDUARDO VILLANUEVA ,3,-7.4366446,-78.1476144
640,59,PEDRO GÁLVEZ ,3,-7.32439,-78.1841581
641,60,ANGUIA ,2,-6.3414242,-78.605603
642,60,CHADIN ,2,-6.434157,-78.4102176
643,60,CHALAMARCA ,2,-6.5031727,-78.4797597
644,60,CHIGUIRIP ,2,-6.4281698,-78.7212712
645,60,CHIMBÁN ,2,-6.2514295,-78.4784639
646,60,CHOROPAMPA ,2,-6.3720964,-78.377002
647,60,CHOTA ,2,-6.509064,-78.8413275
648,60,CONCHÁN ,2,-6.444536,-78.6559814
649,60,LAJAS ,2,-6.5603051,-78.7347385
650,60,PACCHA ,2,-6.4973639,-78.4234478
651,60,PIÓN ,2,-6.1782783,-78.4821171
652,60,TACABAMBA ,2,-6.3929949,-78.6112435
653,60,COCHABAMBA ,3,-6.474381,-78.8851926
654,60,HUAMBOS ,3,-6.4526579,-78.9609489
655,60,LLAMA ,3,-6.5146412,-79.1200724
656,60,MIRACOSTA ,3,-6.4047699,-79.2837793
657,60,QUEROCOTO ,3,-6.3591933,-79.0346121
658,60,SAN JUAN DE LICUPIS ,3,-6.4772439,-79.2481234
659,60,TOCMOCHE ,3,-6.4129611,-79.3607734
660,61,SITACOCHA ,2,-7.491877,-77.8999671
661,61,CACHACHI ,3,-7.4487528,-78.2686919
662,61,CAJABAMBA ,3,-7.5537776,-78.0533705
663,61,CONDEBAMBA ,3,-7.5324512,-78.0953763
664,62,ENCAÑADA ,2,-6.9816201,-78.4079551
665,62,ASUNCIÓN ,3,-7.3234733,-78.5185817
666,62,CAJAMARCA ,3,-7.1566682,-78.517306
667,62,CHETILLA ,3,-7.1469797,-78.6727252
668,62,COSPÁN ,3,-7.4270012,-78.5423093
669,62,JESÚS ,3,-7.2489716,-78.3794946
670,62,LLACANORA ,3,-7.1935919,-78.4266731
671,62,LOS BAÑOS DEL INCA ,3,-7.0827588,-78.4704848
672,62,MAGDALENA ,3,-7.2246172,-78.6311663
673,62,MATARA ,3,-7.2750555,-78.2629041
674,62,NAMORA ,3,-7.2021381,-78.3253016
675,62,SAN JUAN ,3,-7.2917583,-78.4975638
676,63,CHILETE ,3,-7.2213783,-78.8396922
677,63,CONTUMAZÁ ,3,-7.333333,-78.916667
678,63,CUPISNIQUE ,3,-7.3716381,-79.0681649
679,63,GUZMANGO ,3,-7.3850276,-78.8963668
680,63,SAN BENITO ,3,-7.5205811,-78.9586674
681,63,SANTA CRUZ DE TOLEDO ,3,-7.3439935,-78.8371489
682,63,TANTARICA ,3,-7.2698246,-78.944504
683,63,YONÁN ,3,-7.2849207,-79.1833583
684,64,BOLÍVAR ,3,-6.9768708,-79.178387
685,64,CALQUIS ,3,-6.9801252,-78.8499806
686,64,CATILLUC ,3,-6.8105859,-78.7281891
687,64,EL PRADO ,3,-7.0336496,-79.0111824
688,64,LA FLORIDA ,3,-6.8696112,-79.1220288
689,64,LLAPA ,3,-6.9807634,-78.8076004
690,64,NANCHOC ,3,-6.9595289,-79.2427447
691,64,NIEPOS ,3,-6.9264182,-79.1296784
692,64,SAN GREGORIO ,3,-7.0571249,-79.0951175
693,64,SAN MIGUEL ,3,-6.9768275,-78.9409485
694,64,SAN  SILVESTRE  DE COCHÁN ,3,-6.9777058,-78.7741021
695,64,TONGOD ,3,-6.7565331,-78.8246992
696,64,UNIÓN AGUA BLANCA ,3,-7.1143492,-79.0459094
697,65,SAN BERNARDINO ,2,-7.165292,-78.7831824
698,65,SAN LUIS ,2,-7.1572916,-78.8679074
699,65,SAN PABLO ,2,-7.0918959,-78.740251
700,65,TUMBADÉN ,2,-7.0249393,-78.7397496
701,66,ANDABAMBA ,2,-6.6628214,-78.8172733
702,66,CATACHE ,2,-6.6739084,-79.0326561
703,66,CHANCAYBAÑOS ,2,-6.5540423,-78.882045
704,66,LA ESPERANZA ,2,-6.5929359,-78.8957639
705,66,NINABAMBA ,2,-6.6501099,-78.7875763
706,66,PULÁN ,2,-6.7388038,-78.9204565
707,66,SANTA CRUZ ,2,-6.6942323,-78.9752808
708,66,SAUCEPAMPA ,2,-6.6906321,-78.9166193
709,66,SEXI ,2,-6.5639099,-79.0513314
710,66,UTICYACU ,2,-6.6065559,-78.793839
711,66,YAUYUCÁN ,2,-6.6824506,-78.8410093
712,67,BELLAVISTA ,4,-12.0597362,-77.1111612
713,67,CALLAO ,4,-12.0548437,-77.1287335
714,67,CARMEN DE LA LEGUA REYNOSO ,4,-12.0430586,-77.0908775
715,67,LA PERLA ,4,-12.0716034,-77.1173892
716,67,LA PUNTA ,4,-12.0708597,-77.1630399
717,67,VENTANILLA ,4,-11.8846444,-77.1230803
718,67,MI PERÚ ,4,-11.8535764,-77.1203113
719,68,CALCA ,2,-12.9397785,-72.058177
720,68,COYA ,2,-13.3863918,-71.8985883
721,68,LAMAY ,2,-13.3645205,-71.9203033
722,68,LARES ,2,-13.1041821,-72.0442395
723,68,PISAC ,2,-13.4210472,-71.850496
724,68,SAN SALVADOR ,2,-13.4923138,-71.7783551
725,68,TARAY ,2,-13.4275831,-71.8669902
726,68,YANATILE ,2,-12.7656631,-72.1355719
727,69,CHINCHERO ,2,-13.3957999,-72.051771
728,69,HUAYLLABAMBA ,2,-13.3382701,-72.0651037
729,69,MACHUPICCHU ,2,-13.1549508,-72.5249728
730,69,MARAS ,2,-13.3353489,-72.1564755
731,69,OLLANTAYTAMBO ,2,-13.2586458,-72.2636012
732,69,URUBAMBA ,2,-13.1549508,-72.5249728
733,69,YUCAY ,2,-13.3175462,-72.0889732
734,70,CAICAY ,2,-13.5972634,-71.6969307
735,70,CHALLABAMBA ,2,-13.2151286,-71.6485302
736,70,COLQUEPATA ,2,-13.3603934,-71.6734024
737,70,HUANCARANI ,2,-13.5030022,-71.6546176
738,70,KOSÑIPATA ,2,-13.1134125,-71.2908618
739,70,PAUCARTAMBO ,2,-13.2000945,-71.5539961
740,71,ANCAHUASI ,2,-13.4571382,-72.3005668
741,71,ANTA ,2,-13.5,-72.333333
742,71,CACHIMAYO ,2,-13.475679,-72.0694716
743,71,CHINCHAYPUJIO ,2,-13.6294563,-72.2328747
744,71,HUAROCONDO ,2,-13.4151005,-72.2075514
745,71,LIMATAMBO ,2,-13.4797658,-72.44328
746,71,MOLLEPATA ,2,-13.5086248,-72.5276403
747,71,PUCYURA ,2,-13.4793288,-72.1113614
748,71,ZURITE ,2,-13.4554756,-72.2554716
749,72,ANDAHUAYLILLAS ,2,-13.6739086,-71.6776479
750,72,CAMANTI ,2,-13.3648213,-70.7988574
751,72,CCARHUAYO ,2,-13.595283,-71.399952
752,72,CCATCA ,2,-13.5880524,-71.4626652
753,72,CUSIPATA ,2,-13.9066376,-71.5028038
