Id,Id Provincia,Distrito,Zona sismica
295,32,ANDAHUAYLAS ,2
296,32,ANDARAPA ,2
297,32,HUANCARAMA ,2
298,32,HUANCARAY ,2
299,32,KAQUIABAMBA ,2
300,32,KISHUARA ,2
301,32,PACOBAMBA ,2
302,32,PACUCHA ,2
303,32,SAN ANTONIO DE CACHI ,2
304,32,SAN JERÓNIMO ,2
305,32,SANTA  MARÍA  DE CHICMO ,2
306,32,TALAVERA ,2
307,32,TURPO ,2
308,32,JOSÉ MARÍA ARGUEDAS ,2
309,32,CHIARA ,3
310,32,HUAYANA ,3
311,32,PAMPACHIRI ,3
312,32,POMACOCHA ,3
313,32,SAN  MIGUEL  DE CHACCRAMPA ,3
314,32,TUMAY HUARACA ,3
315,33,CHAPIMARCA ,2
316,33,COLCABAMBA ,2
317,33,LUCRE ,2
318,33,SAN JUAN DE CHACÑA ,2
319,33,TINTAY ,2
320,33,CAPAYA ,3
321,33,CARAYBAMBA ,3
322,33,CHALHUANCA ,3
323,33,COTARUSE ,3
324,33,IHUAYLLO ,3
325,33,JUSTO  APU ,3
326,33,SAHUARAURA ,3
327,33,POCOHUANCA ,3
328,33,SAÑAYCA ,3
329,33,SORAYA ,3
330,33,TAPAIRIHUA ,3
331,33,TORAYA ,3
332,33,YANACA ,3
333,34,ANTABAMBA ,3
334,34,EL ORO ,3
335,34,HUAQUIRCA ,3
336,34,JUAN  ESPINOZA ,3
337,34,MEDRANO ,3
338,34,OROPESA ,3
339,34,PACHACONAS ,3
340,34,SABAINO ,3
341,35,ALCA ,3
342,35,CHARCANA ,3
343,35,COTAHUASI ,3
344,35,HUAYNACOTAS ,3
345,35,PAMPAMARCA ,3
346,35,PUYCA ,3
347,35,QUECHUALLA ,3
348,35,SAYLA ,3
349,35,TAURIA ,3
350,35,TOMEPAMPA ,3
351,35,TORO ,3
352,36,ACHOMA ,3
353,36,CABANACONDE ,3
354,36,CALLALLI ,3
355,36,CAYLLOMA ,3
356,36,CHIVAY ,3
357,36,COPORAQUE ,3
358,36,HUAMBO ,3
359,36,HUANCA ,3
360,36,ICHUPAMPA ,3
361,36,LARI ,3
362,36,LLUTA ,3
363,36,MACA ,3
364,36,MADRIGAL ,3
365,36,SAN  ANTONIO CHUCA ,3
366,36,SIBAYO ,3
367,36,TAPAY ,3
368,36,TISCO ,3
369,36,TUTI ,3
370,36,YANQUE ,3
371,36,MAJES ,4
372,37,ANDAGUA ,3
373,37,AYO ,3
374,37,CHACHAS ,3
375,37,CHILCAYMARCA ,3
376,37,CHOCO ,3
377,37,MACHAGUAY ,3
378,37,ORCOPAMPA ,3
379,37,PAMPACOLCA ,3
380,37,TIPÁN ,3
381,37,UÑÓN ,3
382,37,VIRACO ,3
383,37,APLAO ,4
384,37,HUANCARQUI ,4
385,37,URACA ,4
386,38,ALTO SELVA ALEGRE ,3
387,38,AREQUIPA ,3
388,38,CAYMA ,3
389,38,CERRO COLORADO ,3
390,38,CHARACATO ,3
391,38,CHIGUATA ,3
392,38,JACOBO HUNTER ,3
393,38,JOSÉ LUIS BUSTAMANTE Y RIVERO ,3
394,38,MARIANO MELGAR ,3
395,38,MIRAFLORES ,3
396,38,MOLLEBAYA ,3
397,38,PAUCARPATA ,3
398,38,POCSI ,3
399,38,QUEQUEÑA ,3
400,38,SABANDIA ,3
401,38,SACHACA ,3
402,38,SAN JUAN DE TARUCANI ,3
403,38,SOCABAYA ,3
404,38,TIABAYA ,3
405,38,YANAHUARA ,3
406,38,YURA ,3
407,38,LA JOYA ,4
408,38,POLOBAYA ,4
409,38,SAN JUAN DE SIGUAS ,4
410,38,SANTA  ISABEL  DE ,4
411,38,SIGUAS ,4
412,38,SANTA RITA DE SIGUAS ,4
413,38,UCHUMAYO ,4
414,38,VITOR ,4
415,38,YARABAMBA ,4
416,39,CAYARANI ,3
417,39,CHICHAS ,3
418,39,SALAMANCA ,3
419,39,ANDARAY ,4
420,39,CHUQUIBAMBA ,4
421,39,IRAY ,4
422,39,RÍO GRANDE ,4
423,39,YANAQUIHUA ,4
424,40,COCACHACRA ,4
425,40,DEAN VALDIVIA ,4
426,40,ISLAY ,4
427,40,MEJÍA ,4
428,40,MOLLENDO ,4
429,40,PUNTA DE BOMBÓN ,4
430,41,CAMANÁ ,4
431,41,JOSÉ MARÍA QUIMPER ,4
432,41,MARIANO  NICOLÁS ,4
433,41,VALCÁRCEL ,4
434,41,MARISCAL CÁCERES ,4
435,41,NICOLÁS DE PIÉROLA ,4
436,41,OCOÑA ,4
437,41,QUILCA ,4
438,41,SAMUEL PASTOR ,4
439,42,ACARI ,4
440,42,ATICO ,4
441,42,ATIQUIPA ,4
442,42,BELLA UNIÓN ,4
443,42,CAHUACHO ,4
444,42,CARAVELÍ ,4
445,42,CHALA ,4
446,42,CHAPARRA ,4
447,42,HUANUHUANU ,4
448,42,JAQUI ,4
449,42,LOMAS ,4
450,42,QUICACHA ,4
451,42,YAUCA ,4
452,43,AYAHUANCO ,2
453,43,IGUAIN ,2
454,43,HUAMANGUILLA ,2
455,43,HUANTA ,2
456,43,LLOCHEGUA ,2
457,43,LURICOCHA ,2
458,43,SANTILLANA ,2
459,43,SIVIA ,2
460,43,CHACA ,2
461,43,PUCACOLPA ,2
462,43,UCHURACCAY ,2
463,43,CANAYRE ,2
464,43,PUTIS ,2
465,44,ANCO ,2
466,44,AYNA ,2
467,44,CHILCAS ,2
468,44,CHUNGUI ,2
469,44,LUIS CARRANZA ,2
470,44,SAN MIGUEL ,2
471,44,SANTA ROSA ,2
472,44,TAMBO ,2
473,44,ORONCCOY ,2
474,44,ANCHIHUAY ,2
475,44,SAMUGARI ,2
476,44,UNION PROGRESO ,2
477,44,RIO MAGDALENA ,2
478,44,NINABAMBA ,2
479,44,PATIBAMBA ,2
480,45,ACOCRO ,2
481,45,ACOS VINCHOS ,2
482,45,AYACUCHO ,2
483,45,ANDRÉS  AVELINO ,2
484,45,CÁCERES ,2
485,45,DORREGARAY ,2
486,45,JESÚS NAZARENO ,2
487,45,OCROS ,2
488,45,PACAYCASA ,2
489,45,QUINUA ,2
490,45,SAN JOSÉ DE TICLLAS ,2
491,45,SANTIAGO DE PISCHA ,2
492,45,TAMBILLO ,2
493,45,CARMEN ALTO ,3
494,45,CHIARA ,3
495,45,SAN JUAN BAUTISTA ,3
496,45,SOCOS ,3
497,45,VINCHOS ,3
498,46,CONCEPCIÓN ,2
499,46,ACCOMARCA ,3
500,46,CARHUANCA ,3
501,46,HUAMBALPA ,3
502,46,INDEPENDENCIA ,3
503,46,SAURAMA ,3
504,46,VILCAS HUAMÁN ,3
505,46,VISCHONGO ,3
506,47,CARAPO ,3
507,47,SACSAMARCA ,3
508,47,SANCOS ,3
509,47,SANTIAGO  DE ,3
510,47,LUCANAMARCA ,3
511,48,CANGALLO ,3
512,48,CHUSCHI ,3
